slug	ultimo_review_iso	taxa_resposta	media_estrelas	nota
piccolino	2026-04-04	0/8 (0%)	5.0	Nenhuma resposta do dono
tch-inverno	2026-01-14	0/8 (0%)	5.0	Nenhuma resposta + sem reviews novos há 3 meses
spoleto	2026-04-15	0/8 (0%)	4.6	Franquia não responde reviews locais
florart-flores	2026-04-11	7/8 (87%)	4.4	Engajamento ALTO - dono responde tudo
papelaria-artilar	2026-04-08	7/8 (87%)	4.5	Engajamento ALTO - dona responde com nome
banca-314	2022-11-22	0/8 (0%)	4.8	ABANDONADO há 3 anos
big-box-314	2026-04-16	7/8 (87%)	3.9	Franquia ativa mas rating baixo
loterica-pe-quente	2026-01-13	0/8 (0%)	5.0	Zero respostas, sem reviews há 3 meses
jake-daia	2024-07-31	0/8 (0%)	5.0	ABANDONADO há +1 ano, tem site mas reviews paradas
mar-art-moda-pet	2026-01-30	5/8 (62%)	5.0	Bom engajamento, já tem wa.me
orion-tech-pro	2026-04-14	0/8 (0%)	5.0	Rating alto mas ZERO respostas
acqua-lavanderia	2026-04-13	8/8 (100%)	4.8	EXEMPLAR - responde todos com argumento técnico
esquina-314	2026-02-04	3/8 (37%)	4.4	Dono responde parcialmente, inclusive negativos
vison-coiffeur	2026-01-24	7/8 (87%)	4.0	Engajamento ALTO mas poucos reviews
brecho-zoe	2025-12-23	0/8 (0%)	4.4	Zero respostas
boutique-delicias	2021-02-19	0/8 (0%)	4.8	MORTO - reviews há 5 anos
studio-saude	-	-	5.0	Poucos reviews (5), dados insuficientes
sex-shop	-	-	4.5	Poucos reviews (2), dados insuficientes
elaine-tem-de-tudo	-	-	2.0	GMB novo/abandonado, 1 review só
cotton-up	-	-	3.0	GMB novo/abandonado, 1 review só
zeta-kami	-	-	-	Sem rating, 0 reviews (GMB recém-criado)
restaurante-sol	-	-	4.9	DUPLICATA de Esquina 314 (mesma loja 67, mesmo tel)
