quadra,par,titulo,nicho,prioridade,reviews,rating,site,telefone,endereco,status,motivo_reprova,revisar_manual,cnpj,porte,mei,gate_mei,place_id,origem_raw,coletado_em
310,310/311,Lojas A Mundial,Loja de artigos domésticos,P1,42,4.5,,,"Asa Norte Comércio Local Norte 310 - Asa Norte, Brasília - DF, 70756-500",REPROVADO,Grande franquia/rede: Lojas Mundial (rede nacional),,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJdcEKzFY7WpMRHNAd1EdrueE,q310-s0.json,2026-08-10
310,310/311,Refrigeração Querobino,Serviço de conserto de refrigeradores,P1,39,4.2,,(61) 99425-6280,"Asa Norte Comércio Local Norte 310 37 SUBSOLO - Plano Piloto, Brasília - DF, 70756-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJPZQq7TA6WpMRhxudc9fdMks,q310-s0.json,2026-08-10
310,310/311,"BIG BOX 310 Asa Norte: Adega, Açougue, Hortifruti, Brasília DF",Supermercado,P2,1068,4.2,https://www.bigboxdelivery.com.br/,(61) 3348-4800,"Asa Norte CLN 310 S/N Loja 10 - Asa Norte, Brasília - DF, 70756-530",REPROVADO,Grande franquia/rede: Big Box (rede DF),,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJsQtc7TA6WpMRyvYIhOPUuDY,q310-s0.json,2026-08-10
310,310/311,Senhor Smart - Brasília /DF (Asa Norte),Oficina de reparos de celulares,P2,899,4.9,https://senhorsmart.com.br/asanorte/,(61) 98250-3528,"Asa Norte CLN 310, BL B Lj 41 (Térreo - Asa Norte, Brasília - DF, 70756-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJddo5JMs5WpMR33j50NMFfQI,q310-s0.json,2026-08-10
310,310/311,RARUS Barbearia e Visagismo em Brasília,Barbearia,P2,663,5,https://app.faroldabarbearia.com.br/agendar/rarusbrasilia,(61) 3536-7900,"Asa Norte CLN 310 Lj 07 - Asa Norte, Brasília - DF, 70756-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJX6v8LGM7WpMRBgbdQzVN2hg,q310-s20.json,2026-08-10
310,310/311,Adorne Professional Body Piercing,Loja de body piercing,P2,634,4.9,,(61) 98407-7878,"Asa Norte CLN 310, BL E Sala 214 - Plano Piloto, Brasília - DF, 70756-550",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJRdSltxw7WpMR7FYuZbU5yMU,q310-s0.json,2026-08-10
310,310/311,Kariocas Biquínis e Fitness,Loja de moda feminina,P2,557,5,https://kariocas.com.br/,(61) 99981-3936,"Asa Norte QD 310, BLOCO B Lj 01 TÉRREO - Asa Norte, Brasília - DF, 70756-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJ__TFnKszWpMRn0Lk2Q6fGoM,q310-s0.json,2026-08-10
310,310/311,Açaí Puríssimo - 310 Norte,Lanchonete,P2,515,4.6,http://www.acaipurissimo.com.br/,(61) 98366-5768,"CLN 310 - Bloco D - loja 01, SHCN, Brasília - DF, 70756-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJEVEjrq47WpMR9s11YunanRk,q310-s20.json,2026-08-10
310,310/311,Senhora BaforadaTabacaria,Tabacaria,P2,507,4.9,http://www.senhorabaforada.com.br/,(61) 3034-5420,"Asa Norte CLN 310 Lj 74 - Asa Norte, Brasília - DF, 70756-530",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJowNnO2s7WpMRmanA-DiEfYQ,q310-s0.json,2026-08-10
310,310/311,Endossa / Bsb Norte,Loja de acessórios de moda,P2,313,4.6,http://www.endossa.com/,(61) 3032-4224,"SCLN 310, Bloco C - Loja 14, a 20 - Asa Norte, Brasília - DF, 70756-530",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJq6q6kjA6WpMRk52evw1g2tA,q310-s0.json,2026-08-10
310,310/311,Perfect Cortinas,Loja de cortinas e persianas,P2,251,5,https://www.perfectcortinas.com.br/,(61) 3034-4949,"Asa Norte Comércio Local Norte 310 BL E Loja 06 - Asa Norte, Brasília - DF, 70756-550",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJUfE1Xnc7WpMRg8ueaBU7w8o,q310-s0.json,2026-08-10
310,310/311,Borracharia Ponto Certo,Borracharia,P2,228,4.9,,(61) 99355-2234,"SHCN CLN 310, BL B QD.310 S/N - Asa Norte, Brasília - DF, 70756-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJRYDS_RM7WpMRtBXesuAHr0s,q310-s20.json,2026-08-10
310,310/311,Harmonia Instrumentos Musicais,Loja de Instrumentos Musicais,P2,210,4.5,http://www.harmoniabrasilia.com.br/,(61) 3349-1226,"Asa Norte Comércio Local Norte 310, BL B Lj 29 - Asa Norte, Brasília - DF, 70756-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJa9DLAjY6WpMRwxBc07hD6Fg,q310-s20.json,2026-08-10
310,310/311,Cão Mais Gato - Boutique Pet e Veterinária,Veterinário,P2,182,4.8,https://caomaisgato.com.br/,(61) 99607-3200,"Asa Norte CLN 310, bloco D Lj 05 - Asa Norte, Brasília - DF, 70756-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJi0rmJkk7WpMRpmdsI--pym0,q310-s20.json,2026-08-10
